Ibge;Existe serviço de dragagem ou desassoreamento dos cursos d'água naturais perenes - IE041;Data
316370;[N] Não;31/12/2015
316390;[S] Sim;31/12/2015
316410;[S] Sim;31/12/2015
316420;;31/12/2015
316430;[N] Não;31/12/2015
316450;;31/12/2015
316470;;31/12/2015
316490;;31/12/2015
316500;;31/12/2015
316520;;31/12/2015
316530;;31/12/2015
316540;[N] Não;31/12/2015
316553;;31/12/2015
316555;;31/12/2015
316570;;31/12/2015
316600;[N] Não;31/12/2015
316640;;31/12/2015
316660;;31/12/2015
316690;[N] Não;31/12/2015
316710;[S] Sim;31/12/2015
316720;[S] Sim;31/12/2015
316780;;31/12/2015
316800;;31/12/2015
316805;;31/12/2015
316860;;31/12/2015
316870;;31/12/2015
316890;;31/12/2015
316900;;31/12/2015
316905;[N] Não;31/12/2015
316930;[N] Não;31/12/2015
316935;;31/12/2015
316980;;31/12/2015
316990;[S] Sim;31/12/2015
317005;[N] Não;31/12/2015
317020;[N] Não;31/12/2015
317030;;31/12/2015
317040;[N] Não;31/12/2015
317043;;31/12/2015
317047;;31/12/2015
317052;[N] Não;31/12/2015
317057;;31/12/2015
317070;;31/12/2015
317080;[N] Não;31/12/2015
317090;;31/12/2015
317103;[N] Não;31/12/2015
317115;;31/12/2015
317120;[N] Não;31/12/2015
317140;;31/12/2015
317160;;31/12/2015
317180;[S] Sim;31/12/2015
317200;[S] Sim;31/12/2015
317210;[N] Não;31/12/2015
317220;[N] Não;31/12/2015
320010;;31/12/2015
320030;;31/12/2015
320060;[S] Sim;31/12/2015
